dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
rmftsa_sleepdata,3,2,0.0503637790679931,0,36,21,7,7,36.0,18.0,0.5340137481689453,57,37
rmftsa_sleepdata,3,3,0.0052490234375,0,36,21,7,7,36.0,20.666666666666668,0.0026199817657470703,57,37
rmftsa_sleepdata,3,5,0.0061759948730468,0,36,21,7,7,36.0,20.666666666666668,0.002698659896850586,57,37
thoracic-surgery,1,2,0.0411090850830078,0,826,478,446,232,826.0,515.0,0.02337169647216797,1801,1082
thoracic-surgery,1,3,0.0828652381896972,0,3407,2444,1924,379,4888.222222222223,3256.6666666666665,0.03765296936035156,2853,16262
thoracic-surgery,1,5,1.4842565059661863,0,18952,14776,10153,551,36209.23148148148,21904.37962962963,0.046539306640625,3673,1550201
kc3,2,2,0.0943696498870849,0,6334,788,2650,347,6334.0,940.0851063829788,0.1399555206298828,13105,7022
kc3,2,3,0.1888306140899658,0,11834,4408,7861,486,11056.666666666666,5807.120567375887,0.16728472709655762,14840,273938
kc3,2,5,8.219826221466064,0,98641,88653,93990,626,99934.84684684685,179452.30780141844,0.18761253356933594,16702,182911211
tae,2,2,0.0071122646331787,0,121,69,49,33,121.0,60.625,0.0049610137939453125,226,137
tae,2,3,0.0083465576171875,0,200,123,84,58,206.20833333333334,96.875,0.00558781623840332,314,697
tae,2,5,0.0089194774627685,0,217,137,93,65,240.21875,120.36458333333333,0.006192207336425781,337,6885
leaf,32,2,0.0218515396118164,0,1017,216,547,235,1017.0,260.85714285714283,0.0386807918548584,3081,2557
leaf,32,3,0.0320794582366943,0,1650,285,1180,344,1243.9259259259259,383.1666666666667,0.04641461372375488,3556,59712
leaf,32,5,0.0335385799407959,0,1736,333,1266,394,1411.5333333333333,960.745238095238,0.05105733871459961,3820,14051256
australian,1,2,0.0201208591461181,0,822,320,364,242,822.0,404.24242424242425,0.024868488311767578,1641,904
australian,1,3,0.0416467189788818,0,1981,451,1267,364,2348.868686868687,900.6060606060606,0.03177595138549805,2286,12384
australian,1,5,0.0434966087341308,0,2083,507,1363,408,2608.282828282828,1091.1515151515152,0.03524661064147949,2514,974982
dermatology,4,2,0.0427017211914062,0,2278,550,1330,417,2278.0,629.4905660377359,0.10394406318664551,8713,8912
dermatology,4,3,0.1093742847442627,0,6372,2051,5413,760,4613.837209302325,2988.264150943396,0.12686872482299805,10225,392218
dermatology,4,5,1.425615310668945,0,32706,27245,31747,1244,24715.441860465115,30986.94811320755,0.14704608917236328,11479,334251744
Heart_Statlog__UCI_,2,2,0.0180513858795166,0,781,251,373,219,781.0,399.140625,0.02224898338317871,1560,821
Heart_Statlog__UCI_,2,3,0.0297415256500244,0,1503,351,997,313,1839.078125,728.8125,0.027804851531982422,2087,10701
Heart_Statlog__UCI_,2,5,0.0318496227264404,0,1596,391,1088,337,4376.3734375,1644.65234375,0.03112030029296875,2301,760099
Census-Income_KDD__UCI_,50000+,2,5.509300947189331,0,13344,460,7602,485,13344.0,433.52830188679246,7.899883031845093,74544,107881
Census-Income_KDD__UCI_,50000+,3,7.767579555511475,0,15482,1898,9550,688,15228.143399810066,2349.688679245283,8.183614492416382,76603,16649945
Census-Income_KDD__UCI_,50000+,5,31.23821330070496,0,36750,21673,30394,869,36414.153276353274,28355.89716981132,8.38510513305664,78623,177318627413
japanese,+,2,0.0283653736114501,0,1387,293,580,266,1387.0,328.7916666666667,0.1093606948852539,3121,1892
japanese,+,3,0.0451858043670654,0,2330,443,1364,395,1710.7619047619048,790.1111111111111,0.050536155700683594,3816,37882
japanese,+,5,0.0489170551300048,0,2496,524,1524,455,2224.447619047619,2960.632638888889,0.05789017677307129,4418,6508884
heart_hungarian,1,2,0.006030797958374,0,78,51,28,22,78.0,54.0,0.003836393356323242,133,79
heart_hungarian,1,3,0.0070834159851074,0,133,89,50,39,139.11111111111111,94.44444444444444,0.004235506057739258,197,299
heart_hungarian,1,5,0.00738525390625,0,143,99,57,46,154.05555555555554,96.55555555555556,0.004267692565917969,199,794
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,2,0.356048583984375,0,301,251,182,131,301.0,252.6,0.23455023765563965,600,326
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,3,0.6242284774780273,0,1356,436,990,186,1358.8,1258.4,0.26261353492736816,1046,2626
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,5,0.6484196186065674,0,1356,436,990,186,2195.5,748.2,0.3020646572113037,1231,68406
forest,h ,2,0.0810372829437255,0,5158,237,2171,263,5158.0,311.8081395348837,0.14531826972961426,10808,5887
forest,h ,3,0.0866081714630127,0,5450,301,2463,347,5248.79797979798,596.9961240310078,0.13422012329101562,11487,210043
forest,h ,5,0.0890812873840332,0,5493,325,2506,371,5206.689141414141,860.085465116279,0.13826799392700195,11670,117038314
robot5,bottom_collision,2,0.0133984088897705,0,353,197,140,131,353.0,273.0,0.013541698455810547,703,407
robot5,bottom_collision,3,0.0250024795532226,0,940,279,640,214,979.9545454545455,517.8333333333334,0.017853498458862305,1038,3683
robot5,bottom_collision,5,0.0259959697723388,0,978,297,678,226,1205.0810606060606,491.84318181818185,0.019776582717895508,1151,122438
pen,6,2,0.0786762237548828,0,1490,182,446,229,1490.0,289.531914893617,0.06200575828552246,3133,1771
pen,6,3,0.0997121334075927,0,1891,256,847,338,1533.3333333333333,412.468085106383,0.07090401649475098,3503,34280
pen,6,5,0.0969512462615966,0,1973,294,929,386,1613.8333333333333,679.3851063829787,0.07796168327331543,3928,5495792
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,2,1.8704354763031008,0,1225,1078,0,0,1225.0,1078.0,1.134340524673462,2353,1226
