dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.1439807415008545,0,4799,2891,2441,257,4817.822916666667,3562.241666666667,0.08458256721496582,6294,7176
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.3514821529388428,0,9039,3000,5358,257,13768.0265625,3703.0875,0.10185003280639648,7801,384168
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0041992664337158,0,10,8,0,0,10.0,8.0,0.0054018497467041016,304,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.0039741992950439,0,10,8,0,0,10.0,8.0,0.0051805973052978516,304,11
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.0040571689605712,0,10,8,0,0,10.0,8.0,0.004856109619140625,304,11
auto6_3,class1,2,0.1980459690093994,0,12090,1017,5586,480,12090.0,1000.525,0.1617436408996582,15555,12091
auto6_3,class1,3,0.255946397781372,0,14704,1319,8169,527,14406.604166666666,1153.4583333333333,0.1785876750946045,16497,620776
auto6_3,class1,5,0.2570362091064453,0,14754,1327,8219,527,14597.125,1339.9750000000001,0.1826646327972412,16564,722277712
grammatical_b1,1,2,1.517747163772583,0,85865,1640,80897,738,85865.0,2523.5,0.6095833778381348,42299,719401
grammatical_b1,1,3,1.699061393737793,0,94498,6421,89530,807,90534.33333333333,6338.62,0.7979128360748291,43058,287281600
grammatical_b1,1,5,7.312918186187744,0,144285,53148,139317,819,108944.63916666666,159759.24866666668,0.8382565975189209,43627,20563990681840
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.0484325885772705,0,1275,1162,567,262,1275.0,1158.75,0.08280706405639648,4950,1276
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.4362108707427978,0,15749,7333,8065,305,15590.833333333334,7638.833333333333,0.12875771522521973,9295,20876
EqualDist_Random-Synthetic__2_10_7463_,1,5,1.6062464714050293,0,31168,8103,17891,307,49207.057291666664,9397.375,0.153062105178833,11041,2369936
volcanoes-a1,4,2,0.0068976879119873,0,67,41,22,22,67.0,41.745,0.01528167724609375,1012,79
volcanoes-a1,4,3,0.0075139999389648,0,89,60,41,41,90.28333333333333,56.906666666666666,0.020419597625732422,1430,299
volcanoes-a1,4,5,0.0072202682495117,0,89,60,41,41,91.42916666666666,58.905,0.020419836044311523,1450,299
vert3,NO,2,0.0096104145050048,0,277,157,128,115,277.0,156.17,0.026098012924194336,2224,301
vert3,NO,3,0.0157632827758789,0,686,224,456,157,757.2208333333333,226.70333333333332,0.037035226821899414,3281,2325
vert3,NO,5,0.0163788795471191,0,711,238,481,170,772.8392708333333,218.66483333333335,0.03695273399353027,3338,55455
CongressionalVotingRecords_UCI_,republican,2,0.022423505783081,0,1129,169,477,211,1129.0,161.21,0.049318790435791016,4648,1177
CongressionalVotingRecords_UCI_,republican,3,0.0606801509857177,0,1614,332,962,338,1660.8833333333334,424.0183333333333,0.0577392578125,5193,18473
CongressionalVotingRecords_UCI_,republican,5,0.0677621364593505,0,1827,417,1175,393,1620.0129166666666,577.75925,0.05807328224182129,5236,1925357
pitt2_2,WOOD,2,0.006589651107788,0,114,51,48,27,114.0,53.2,0.015868663787841797,1323,277
pitt2_2,WOOD,3,0.0070557594299316,0,158,76,73,40,176.50416666666666,75.43666666666667,0.022563457489013672,1772,2048
pitt2_2,WOOD,5,0.0072894096374511,0,162,78,76,41,184.81666666666666,78.155,0.022184133529663086,1857,44552
statlog_vehicle,opel,2,0.0766887664794921,0,2628,364,1044,302,2628.0,411.12,0.07891106605529785,7172,2629
statlog_vehicle,opel,3,0.0931880474090576,0,3547,683,1912,403,3520.65,731.28,0.09064507484436035,7888,62269
statlog_vehicle,opel,5,0.1248154640197753,0,4721,1798,3086,447,4572.48,3243.828,0.095855712890625,8260,15082603
pitt2_1,DECK,2,0.0070931911468505,0,159,71,76,39,159.0,73.44,0.018861770629882812,1623,277
pitt2_1,DECK,3,0.0085506439208984,0,236,117,108,58,250.375,117.27166666666668,0.0430607795715332,2136,2048
pitt2_1,DECK,5,0.008594274520874,0,247,124,111,60,284.916875,127.05375000000001,0.026453018188476562,2297,44552
grammatical_a8,1,2,0.6988317966461182,0,36170,664,34745,741,36170.0,685.025,0.4156045913696289,27590,708646
grammatical_a8,1,3,0.7393584251403809,0,38331,1471,36906,772,36697.791666666664,2273.258333333333,0.626500129699707,27905,280860826
grammatical_a8,1,5,0.8405680656433105,0,41572,4590,40147,775,37811.56458333333,13181.077916666667,0.6534719467163086,28195,19803075833479
grammatical_a6,1,2,0.3312368392944336,0,12521,1380,11742,716,12521.0,1389.955,0.5112061500549316,16196,715807
grammatical_a6,1,3,0.7341556549072266,0,31282,17625,30503,876,32622.245833333334,21279.171666666665,0.5426490306854248,18048,285130587
grammatical_a6,1,5,469.0086166858673,0,1307432,1266062,1306653,979,1518513.1139583334,1888272.8054166667,0.5809779167175293,20642,20307799058106
auto6_2,class5,2,0.219517707824707,0,12090,994,5726,233,12090.0,948.6,0.22715544700622559,15555,12091
auto6_2,class5,3,0.3030233383178711,0,14301,1071,7823,251,74358.66666666667,4588.0,0.24150967597961426,20387,620776
auto6_2,class5,5,0.303959846496582,0,14309,1072,7831,251,65210.276041666664,3969.55,0.23486018180847168,19873,722277712
auto1,class1,2,0.0228540897369384,0,820,786,405,231,820.0,787.4,0.05166792869567871,3940,821
