dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.0884895324707031,0,586,251,434,213,588.1,235.72666666666666,0.12206244468688965,3100,1351
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.0864074230194091,0,586,251,434,213,620.3010416666666,250.54666666666668,0.12653517723083496,3242,6196
ring,0,2,0.1083455085754394,0,3240,828,1556,365,3240.0,930.0,0.12536978721618652,7980,3241
ring,0,3,0.2443251609802246,0,8698,828,7014,365,10209.5,879.2,0.1562800407409668,9903,85401
ring,0,5,0.2464520931243896,0,8698,828,7014,365,9536.5,852.0,0.15398669242858887,9831,25706997
mc1,2,2,0.1780464649200439,0,3668,2436,1248,314,3668.0,2412.725,0.1472165584564209,8498,4852
mc1,2,3,1.8946447372436523,0,42274,29426,22059,647,49228.177083333336,31088.466666666667,0.22565960884094238,14003,156948
mc1,2,5,923.692981481552,0,1678961,1360293,1400028,1114,2407409.447395833,2385976.32875,0.3182826042175293,20070,71680092
thyroid_allhyper,goitre.,2,0.0394463539123535,0,1192,923,550,279,1192.0,942.0,0.07238340377807617,4764,2081
thyroid_allhyper,goitre.,3,0.279991865158081,0,10396,5700,6667,567,12587.5,10214.64,0.11369633674621582,8394,43745
thyroid_allhyper,goitre.,5,8.113628625869751,0,103147,84509,88302,844,154571.515,183677.208,0.1490325927734375,10908,8303633
mammographics,1,2,0.0088946819305419,0,194,117,87,66,194.0,120.365,0.023333311080932617,1823,277
mammographics,1,3,0.0128378868103027,0,430,243,225,135,459.68333333333334,252.63666666666666,0.03262495994567871,2743,2048
mammographics,1,5,0.0151307582855224,0,515,298,292,168,617.3417708333334,344.47791666666666,0.03882122039794922,3166,44552
dresses,1,2,0.0475718975067138,0,2802,823,1058,218,2802.0,829.645,0.07579517364501953,7374,15226
dresses,1,3,0.1423597335815429,0,8393,2805,3832,318,10031.433333333332,3932.2666666666664,0.1010291576385498,9483,878150
dresses,1,5,0.3809759616851806,0,13631,4488,7110,339,12021.367708333333,5598.138833333333,0.12244844436645508,9639,1292028185
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,2,0.0040085315704345,0,4,0,0,0,4.0,0.0,0.0022916793823242188,4,11
U_LVL1_0_Uninteresting_Non-Random-Synthetic__2_2_4_,0,3,0.0036220550537109,0,4,0,0,0,4.0,0.0,0.0018887519836425781,4,11
