dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
I_LVL2_2_Interesting_Non-Random-Synthetic__2_5_312500_,1,5,0.61920166015625,0,3026,881,2704,384,2825.37375,755.8,0.5790338516235352,4528,68406
forest,h ,2,0.102039098739624,0,5217,388,2171,263,5241.315,564.075,0.13128423690795898,10110,5887
forest,h ,3,0.2338192462921142,0,12581,731,7616,360,12630.685416666667,891.4833333333333,0.1277780532836914,10586,210043
forest,h ,5,1.3233215808868408,0,78581,6145,23532,422,51711.123046875,2846.4309166666667,0.13411474227905273,10995,117038314
robot5,bottom_collision,2,0.0133523941040039,0,317,278,140,131,328.78,222.13,0.03729104995727539,2530,407
robot5,bottom_collision,3,0.0329821109771728,0,1245,506,729,309,1161.3866666666668,402.31,0.0496373176574707,3462,3683
robot5,bottom_collision,5,0.0738885402679443,0,3353,787,1933,463,2328.0860208333334,493.77366666666666,0.054915666580200195,3664,122438
pen,6,2,0.0797195434570312,0,1518,483,446,229,1511.79,253.45,0.09832954406738281,5361,1771
pen,6,3,0.1518397331237793,0,4274,763,1771,480,3821.3025,870.76,0.10410928726196289,5905,34280
pen,6,5,0.2912449836730957,0,10247,1045,5572,840,28641.143625,8837.9245,0.10953569412231445,6187,5495792
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,2,0.781177282333374,0,1,0,0,0,1.0,0.0,0.6889371871948242,2,1226
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,3,0.7701656818389893,0,1,0,0,0,1.0,0.0,0.7369263172149658,2,19650
U_LVL3_0_Uninteresting_Non-Random-Synthetic__2_7_823543_,0,5,0.7756121158599854,0,1,0,0,0,1.0,0.0,0.7465908527374268,2,2138410
robot3,slightly_moved,2,0.0118324756622314,0,341,325,167,145,347.33,314.74,0.09272265434265137,2630,407
robot3,slightly_moved,3,0.0390546321868896,0,1797,522,925,194,1878.905,621.145,0.05321621894836426,4254,3683
robot3,slightly_moved,5,0.0636489391326904,0,3085,527,1661,221,3206.42440625,622.08325,0.05834531784057617,4461,122438
