dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
statlog_vehicle,opel,5,0.7695684432983398,0,41349,3731,24810,798,60817.85725,8627.446,0.10984587669372559,8926,15082603
pitt2_1,DECK,2,0.0074265003204345,0,192,72,76,39,182.4825,75.97,0.02079010009765625,1625,277
pitt2_1,DECK,3,0.0116541385650634,0,421,118,169,58,450.40958333333333,125.525,0.027369976043701172,2163,2048
pitt2_1,DECK,5,0.0128264427185058,0,492,125,196,60,567.8044114583333,116.43708333333333,0.02965521812438965,2238,44552
grammatical_a8,1,2,3.3675339221954346,0,162800,2081,126582,741,128690.45,1208.075,0.4395146369934082,27592,708646
grammatical_a8,1,3,17.889995574951172,0,913579,10574,744282,1125,361645.325,8104.258333333333,0.6728546619415283,28256,280860826
grammatical_a8,1,5,398.3273251056671,0,20290781,189788,16718397,1338,6912865.85515625,271681.95916666667,0.6868183612823486,28509,19803075833479
grammatical_a6,1,2,2.0405216217041016,0,96141,2587,70677,716,73479.5675,2039.5,0.5517003536224365,16198,715807
grammatical_a6,1,3,22.656128883361816,0,1137101,48553,878860,1525,617020.6775,42693.73333333333,0.598250150680542,18804,285130587
auto6_2,class5,2,0.2447514533996582,0,11864,1282,5726,233,11861.6,5177.225,0.22019362449645996,15557,12091
auto6_2,class5,3,1.1793866157531738,0,60056,3184,34194,429,286468.38333333336,11613.858333333334,0.31792235374450684,23359,620776
