dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
volcanoes-d4,3,3,0.011275291442871,0,138,94,36,36,139.55555555555554,94.66666666666667,0.007043361663818359,208,299
volcanoes-d4,3,5,0.0113666057586669,0,138,94,36,36,141.11111111111111,88.66666666666667,0.0069580078125,208,299
pitt2_3,LONG,2,0.0073919296264648,0,159,71,78,40,159.0,68.94444444444444,0.006486177444458008,375,277
pitt2_3,LONG,3,0.0085265636444091,0,241,118,116,64,266.98148148148147,104.99074074074075,0.007912158966064453,481,2048
pitt2_3,LONG,5,0.0090529918670654,0,255,127,123,69,429.18194444444447,180.50694444444446,0.00896310806274414,557,44552
grammatical_b5,1,2,2.294153928756714,0,128443,6978,116291,735,128443.0,6733.956131078224,7.671990633010864,596911,700337
grammatical_b5,1,3,5.717564582824707,0,267324,106718,255149,942,263686.6537077034,118012.52114164905,8.293428897857666,626704,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1213140487670898,0,325,275,139,134,325.0,275.0,0.09280681610107422,625,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2538650035858154,0,1575,1525,768,308,1575.0,1525.0,0.10459232330322266,1100,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0496175289154053,0,7825,4650,3955,428,7825.0,4650.0,0.12685155868530273,1675,68406
pitt1_4,S,2,0.0075652599334716,0,177,65,82,34,177.0,60.1578947368421,0.01264500617980957,415,301
pitt1_4,S,3,0.008157730102539,0,223,91,101,44,329.36842105263156,100.42105263157895,0.008512258529663086,545,2325
pitt1_4,S,5,0.0083439350128173,0,224,92,101,44,336.07894736842104,106.61842105263158,0.008621454238891602,548,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.727981328964233,0,5050,2800,2224,365,5050.0,2710.0,4.00847601890564,10000,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.7825345993042,0,56890,27703,28709,587,68090.0,30051.25,5.476865530014038,15621,166751
gesture_va,P,2,0.6442153453826904,0,8256,7646,4281,469,8256.0,7804.862745098039,0.3505666255950928,16257,8257
gesture_va,P,3,8.781985759735107,0,281963,31105,153967,628,300028.61788617884,79995.39869281046,0.47734665870666504,31001,349633
gesture_va,P,5,31.50186038017273,0,442330,53895,307385,718,3327513.300813008,906667.6496732027,0.6154565811157227,40578,275584033
connectionist_vowel,4,2,0.0336942672729492,0,1655,906,583,294,1655.0,952.0212765957447,0.04546093940734863,3307,1771
connectionist_vowel,4,3,0.1521081924438476,0,8241,2350,5301,511,9235.648148148148,4709.776595744681,0.06107306480407715,4962,34280
connectionist_vowel,4,5,0.2456014156341552,0,10442,3033,7502,631,18617.46111111111,9327.635638297872,0.07039356231689453,5701,5495792
breast_cancer_wis_pro,R,2,0.1321043968200683,0,9334,4129,4187,421,9334.0,5192.878048780488,0.21690654754638672,20809,11936
breast_cancer_wis_pro,R,3,1.3295025825500488,0,59560,9366,44806,499,112486.69902912622,11462.146341463415,0.3178861141204834,31196,608840
breast_cancer_wis_pro,R,5,2.425520181655884,0,70496,16049,53998,598,156442.1631067961,21903.39891598916,0.33396053314208984,33008,699135746
diggle_table_a2,8,2,0.0088086128234863,0,168,103,76,70,168.0,104.04,0.010256528854370117,528,529
diggle_table_a2,8,3,0.0123250484466552,0,364,229,240,188,384.0133333333333,264.4066666666667,0.013293981552124023,774,5489
diggle_table_a2,8,5,0.0188939571380615,0,669,530,545,253,774.951,577.5976666666667,0.017828702926635742,1016,242825
page,5,2,0.0312583446502685,0,781,474,244,185,781.0,488.71875,0.027469873428344727,1560,821
page,5,3,0.0879378318786621,0,3100,1168,1778,380,3817.921875,2447.046875,0.0397946834564209,2421,10701
page,5,5,0.1450991630554199,0,4853,2068,3526,535,9189.8875,5939.61875,0.047843217849731445,2836,760099
steel-plates-fault,2,2,0.1186134815216064,0,5784,3990,3352,498,5784.0,4383.433333333333,0.16169452667236328,11985,6442
steel-plates-fault,2,3,2.038148880004883,0,88886,10138,64039,777,96191.35714285714,31283.035185185185,0.26049327850341797,20211,240578
