dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
GermanCredit_UCI_,2,5,0.3512904644012451,0,12352,4778,7976,472,15456.522727272728,9160.916666666666,0.09377598762512207,7779,18545216
pc1,2,2,0.0540575981140136,0,2850,291,806,329,2850.0,323.5,0.06642580032348633,5625,2851
pc1,2,3,0.0753397941589355,0,4023,1214,1963,484,3458.409090909091,1147.0,0.0722346305847168,5985,70376
pc1,2,5,0.5467772483825684,0,15329,12234,13269,671,13914.386363636364,17042.983333333334,0.0804436206817627,6672,18545216
mfeat-pixel,8,2,0.8478481769561768,0,35318,3460,29578,901,35318.0,3568.4526699029125,5.529329061508179,428480,1358777
mfeat-pixel,8,3,2.395346164703369,0,100525,16712,94785,1346,111769.81818181818,19307.65574433657,6.505644798278809,467731,745969673
mfeat-pixel,8,5,52.62808132171631,0,321454,162385,315714,1672,581209.8237100737,384377.8497168285,6.6370849609375,480311,100992507946877
hv_noise,0,2,1.3883981704711914,0,80200,20200,26173,422,80200.0,20200.0,1.6451466083526611,160000,80201
hv_noise,0,3,21.10117244720459,0,727000,667000,349573,700,727000.0,667000.0,2.0303893089294434,199200,10667001
image,WINDOW,2,0.0469999313354492,0,1962,245,835,281,1962.0,220.05633802816902,0.06333780288696289,4402,2557
image,WINDOW,3,0.0598013401031494,0,2587,503,1460,392,2432.0653594771243,564.9859154929577,0.06470513343811035,4750,59712
image,WINDOW,5,0.0764596462249755,0,3374,1070,2247,462,3140.5065359477126,2014.9636150234742,0.06900453567504883,5036,14051256
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,2,10.337129592895508,0,325,275,132,127,325.0,275.0,7.107591867446899,625,326
ED_LVL_1_4_EqualDist_Random-Synthetic__2_5_10000000_,0,3,22.61337375640869,0,1575,1525,747,225,1575.0,1525.0,9.45437240600586,1100,2626
