dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
mice,t-SC-s,5,0.6359155178070068,0,40316,630,19668,759,40382.2264739229,804.6533439490446,0.9983921051025391,88936,25038470058
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,2,0.0639820098876953,0,210,170,0,0,210.0,170.0,0.03571510314941406,400,211
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,3,0.101280927658081,0,710,670,0,0,710.0,670.0,0.0442349910736084,680,1351
U_LVL0_Uninteresting_Non-Random-Synthetic__2_4_62500_,0,5,0.1520454883575439,0,1335,1295,0,0,1335.0,1295.0,0.04801535606384277,860,6196
grammatical_a4,1,2,0.4465878009796142,0,20905,9582,20070,757,20905.0,9814.385797342193,3.2224814891815186,239596,725411
grammatical_a4,1,3,9.022604703903198,0,384578,262693,383743,893,424368.70411036036,310196.5114894795,4.933978080749512,353207,290890615
NormalDist_Random-Synthetic__2_7_7283_,1,2,0.0273683071136474,0,561,460,237,175,561.0,461.0,0.029088258743286133,1089,562
NormalDist_Random-Synthetic__2_7_7283_,1,3,0.0991852283477783,0,3495,2030,1784,274,3614.1666666666665,2369.5,0.032768964767456055,1907,6018
NormalDist_Random-Synthetic__2_7_7283_,1,5,0.3365752696990967,0,9200,3882,5052,282,16016.933333333332,6297.433333333333,0.04150748252868652,2440,284274
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,2,0.1423876285552978,0,5050,1651,2227,326,5050.0,1537.5,0.15152239799499512,10000,5051
ND_LVL_2_1_NormalDist_Random-Synthetic__2_10_10000_,0,3,0.7083580493927002,0,26254,7961,13455,355,29253.125,11259.5,0.1920332908630371,13106,166751
