dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
volcanoes-a1,4,5,0.0081913471221923,0,121,61,41,41,114.44291666666666,65.22166666666666,0.023041963577270508,1489,299
vert3,NO,2,0.0100061893463134,0,265,196,115,115,255.575,201.215,0.028816699981689453,2226,301
vert3,NO,3,0.0218162536621093,0,1217,320,205,178,1096.6179166666666,306.74666666666667,0.04140496253967285,3483,2325
vert3,NO,5,0.0283126831054687,0,1781,344,226,190,1565.45015625,305.56216666666666,0.044660329818725586,3649,55455
CongressionalVotingRecords_UCI_,republican,2,0.019683837890625,0,760,386,249,208,1102.1525,292.165,0.05355048179626465,4650,1177
CongressionalVotingRecords_UCI_,republican,3,0.0449256896972656,0,2404,736,661,360,3073.900416666667,851.7783333333333,0.06144595146179199,5275,18473
CongressionalVotingRecords_UCI_,republican,5,0.1698248386383056,0,10975,1973,1972,729,16283.23034375,3925.5039166666666,0.06846284866333008,5731,1925357
pitt2_2,WOOD,2,0.006627082824707,0,161,52,27,27,152.52,50.07,0.017391681671142578,1325,277
pitt2_2,WOOD,3,0.0087347030639648,0,340,77,40,40,324.28249999999997,72.56333333333333,0.022612571716308594,1725,2048
pitt2_2,WOOD,5,0.0093803405761718,0,401,79,41,41,417.575875,82.08333333333333,0.026001453399658203,1869,44552
statlog_vehicle,opel,2,0.0556299686431884,0,2521,1829,984,337,2521.0,1663.12,0.08400130271911621,7174,2629
statlog_vehicle,opel,3,0.3979842662811279,0,25309,5286,4241,404,31917.34,10475.8,0.13015222549438477,11149,62269
statlog_vehicle,opel,5,1.6170742511749268,0,110549,12105,10809,775,246688.37275,44192.326,0.15390539169311523,12707,15082603
pitt2_1,DECK,2,0.0070648193359375,0,192,72,39,39,182.8225,74.27,0.020842313766479492,1625,277
pitt2_1,DECK,3,0.0100719928741455,0,421,118,58,58,423.93916666666667,116.175,0.02680206298828125,2127,2048
pitt2_1,DECK,5,0.0109124183654785,0,492,125,60,60,618.1678854166666,129.9025,0.029944181442260742,2308,44552
grammatical_a8,1,2,1.6894032955169678,0,101891,6395,5881,1316,279743.77,2990.13,0.7806763648986816,55292,708646
grammatical_a8,1,3,33.63768815994263,0,2191491,99723,99310,3448,751271.1233333333,25660.183333333334,1.024961233139038,55958,280860826
grammatical_a6,1,2,1.6197052001953125,0,97003,8694,8189,1091,91199.05,6599.7,0.6057021617889404,20098,715807
grammatical_a6,1,3,44.69654822349548,0,2868326,222768,222300,3255,1728836.125,190935.48333333334,0.6994209289550781,26393,285130587
auto6_2,class5,2,0.2525322437286377,0,11864,11418,5726,157,11867.025,11821.3,0.21621298789978027,15557,12091
auto6_2,class5,3,6.567876577377319,0,420589,38746,26876,953,573278.575,324189.44166666665,0.3547694683074951,30210,620776
auto6_2,class5,5,23.80505919456482,0,2057257,50611,28540,1019,16929056.11135417,589604.5054166666,0.435436487197876,38064,722277712
