dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting
lung,3,5,2.464592218399048,0,139420,12535,77433,490
credit,+,2,0.035533905029296875,0,1483,604,640,266
credit,+,3,0.10648775100708008,0,5151,1054,2636,455
credit,+,5,0.27048397064208984,0,13313,1634,8027,773
lymphography,fibrosis,2,0.021318674087524414,0,870,209,330,150
lymphography,fibrosis,3,0.06679987907409668,0,3537,380,1271,236
lymphography,fibrosis,5,0.14623379707336426,0,8426,450,2846,254
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,2,0.0546879768371582,0,156,152,109,103
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,3,0.07371735572814941,0,546,281,434,190
I_LVL0_Interesting_Non-Random-Synthetic__2_4_62500_,1,5,0.08697247505187988,0,796,406,684,253
